ソーラーパネルは太陽光から電気<u>を生み出す</u>。	Solar panels ( ) electricity from sunlight.	propose	relax	generate	complain	3
だれがこの楽曲<u>を作曲した</u>か知っていますか。	Do yo know who ( ) this piece of music?	composed	depirved	revealed	consumed	1
私たちは学校でだれも<u>いじめ</u>られていないようにしなければならない。	We must make sure ne one is ( ) at school.	searched	cooperated	intended	bullied	4
彼は子供の頃，<u>虐待</u>の犠牲者だった。	He was a victim of ( ) when he was a child.	pan	statistics	cancer	abuse	4
私たちは<u>差別</u>に対してより厳格な法律を導入する必要がある。	We need to introduce stricter laws against ( ).	discrimination	childhood	life	strain	1
<u>偏見</u>は時に社会に深く根付くことがある。	( ) can sometimes be deeply rooted in society.	Quarrel	Prejudice	Removal	Fashion	2
その野球チームはリード<u>を保った</u>。	The baseball team ( ) their lead.	sustained	staved	qualified	tumed	1
地球の<u>大気</u>汚染は最近になって改善されてきている。	The polluted ( ) of our palnet has imporved recently.	problem	atmosphere	motivation	sentence	2
あなたのお名前と誕生日<u>を確かめ</u>させていただけますか。	Could I ( ) your name and date of birth?	arrange	confirm	chase	rent	2
日本史は私<u>を魅了する</u>。	The history of Japan ( ) me.	supplise	fascinates	unites	boils	2
彼は自分の生き方を会社に<u>合わせ</u>られなかった。	He could not ( ) his way of life to the company.	swallow	enter	hire	adapt	4
私の姉と彼女の夫は小さな女の子を<u>養子にした</u>。	My sister and her husband ( ) a little girl.	healed	adopted	examined	entered	2
私はこの<u>抽象的</u>なデータを信用しない。	I don't trust this ( ) data.	similar	abstract	modest	conscious	2
この計画に同意する<u>具体的な</u>理由を教えてくれますか。	Can you give me a ( ) reason for agreeing to the plan?	successful	bad	funny	concrete	4
多くの鳥は<u>本能</u>にしたがって長距離を旅することが出来る。	Many birds can travel over long distances follwing their ( ).	attacks	loans	doubts	instincts	4
彼らは貧困の<u>極み</u>に苦しんでいた。	They were suffering the ( ) of poventy.	apology	question	extreme	opportunity	3
どうやってそのお金<u>を手に入れた</u>の？	How did you ( ) the money?	gain	wear	withdraw	heal	1
<u>差し当たり</u>，その問題は無視しましょう。	( ), just ignore the matter.	Meanwhile	Obviously	Nonetheless	Still	1
私は彼女にメールを送ったが，<u>返事</u>はなかった。	I sent her an email, but there was no ( ).	ambition	broadcast	reply	luxury	3
私はとうとう彼<u>を説得して</u>それを買わせた。	I finally ( ) him to buy it.	persuaded	saved	wondered	required	1
彼女のほほえみで，彼は彼女が幸せであると<u>確信した</u>。	Her smile ( ) him that she was happy.	convinced	exploded	denied	offered	1
そのあたりは水が<u>浅い</u>。	The water is ( ) there.	sharp	efficient	shallow	dear	3
彼らは社会的ネットワークを<u>広げる</u>ことに関心がない。	They aren't interested in ( ) their social network.	conveying	retiring	offering	extending	4
彼が言うことはある<u>程度</u>本当だ。	What he says is true to some ( ).	category	combination 	extent	witness	3
私たちはその<u>宗教</u>がいつ始まったか知らない。	We don't know when the ( ) began.	advance	concept	sum	religion	4
石油の生産は彼らの繁栄に<u>欠くことが出来ない</u>。	The production of oil is ( ) to their prosperity.	documentary	essential	theoretical	extinct	2
彼は<u>まだ</u>寝ている。	He is ( ) in bed.	store	already	always	still	4
食物は人間が存在する上で<u>必須</u>だ。	Food is ( ) to human existence.	genetic	fundamental	aggressive	cautious	2
彼は郊外に大きな<u>不動産</u>を持っている。	He has a large ( ) in the suburbs.	property	length	equipment	insurance	1
